dataset,K_1,K_2,K_3,K_4,K_5,K_6,K_7,K_8,K_9,K_10,K_11,K_12,K_13,K_14,K_15,K_16,K_17,K_18,K_19,K_20
50words,Cricket_Z,Cricket_Y,Cricket_X,CBF,CinC_ECG_torso,ChlorineConcentration,Beef,DistalPhalanxTW,DistalPhalanxOutlineAgeGroup,ECG5000,DistalPhalanxOutlineCorrect,ArrowHead,Earthquakes,Computers,ECG200,BeetleFly,BirdChicken,Adiac,DiatomSizeReduction,Car
Adiac,Car,DiatomSizeReduction,BeetleFly,BirdChicken,Cricket_Z,Earthquakes,Cricket_X,Cricket_Y,ECG200,CinC_ECG_torso,ECG5000,DistalPhalanxTW,DistalPhalanxOutlineAgeGroup,Computers,DistalPhalanxOutlineCorrect,CBF,ChlorineConcentration,50words,Beef,ArrowHead
ArrowHead,Beef,50words,ECG5000,Cricket_Y,DistalPhalanxTW,CinC_ECG_torso,CBF,Cricket_Z,Cricket_X,DistalPhalanxOutlineAgeGroup,ChlorineConcentration,DistalPhalanxOutlineCorrect,Earthquakes,Computers,ECG200,BeetleFly,BirdChicken,Adiac,DiatomSizeReduction,Car
Beef,ArrowHead,50words,ECG5000,Cricket_Y,DistalPhalanxTW,CinC_ECG_torso,CBF,Cricket_Z,Cricket_X,DistalPhalanxOutlineAgeGroup,ChlorineConcentration,DistalPhalanxOutlineCorrect,Earthquakes,Computers,ECG200,BeetleFly,BirdChicken,Adiac,DiatomSizeReduction,Car
BeetleFly,Adiac,Cricket_Z,Cricket_Y,Cricket_X,DiatomSizeReduction,Car,ECG200,CinC_ECG_torso,ECG5000,DistalPhalanxTW,DistalPhalanxOutlineAgeGroup,Computers,DistalPhalanxOutlineCorrect,CBF,ChlorineConcentration,50words,Beef,ArrowHead,BirdChicken,Earthquakes
BirdChicken,Adiac,Cricket_Z,Cricket_X,Car,Cricket_Y,DiatomSizeReduction,ECG200,CinC_ECG_torso,ECG5000,DistalPhalanxTW,DistalPhalanxOutlineAgeGroup,Computers,DistalPhalanxOutlineCorrect,CBF,ChlorineConcentration,50words,Beef,ArrowHead,BeetleFly,Earthquakes
CBF,DistalPhalanxTW,Earthquakes,DistalPhalanxOutlineAgeGroup,50words,ChlorineConcentration,Computers,CinC_ECG_torso,Cricket_X,DistalPhalanxOutlineCorrect,ECG5000,Cricket_Z,Cricket_Y,ECG200,Beef,ArrowHead,BeetleFly,BirdChicken,Adiac,DiatomSizeReduction,Car
Car,Adiac,DiatomSizeReduction,BirdChicken,BeetleFly,Earthquakes,Cricket_Z,Cricket_X,Cricket_Y,ECG200,CinC_ECG_torso,ECG5000,DistalPhalanxTW,DistalPhalanxOutlineAgeGroup,Computers,DistalPhalanxOutlineCorrect,CBF,ChlorineConcentration,50words,Beef,ArrowHead
ChlorineConcentration,Cricket_X,50words,DistalPhalanxOutlineCorrect,Cricket_Z,CBF,DistalPhalanxOutlineAgeGroup,Earthquakes,DistalPhalanxTW,Computers,ECG5000,Cricket_Y,CinC_ECG_torso,ECG200,Beef,ArrowHead,BeetleFly,BirdChicken,Adiac,DiatomSizeReduction,Car
CinC_ECG_torso,50words,DistalPhalanxOutlineAgeGroup,Computers,Cricket_Y,Cricket_Z,DistalPhalanxTW,Cricket_X,CBF,ECG5000,ECG200,DistalPhalanxOutlineCorrect,Earthquakes,ChlorineConcentration,BeetleFly,BirdChicken,Beef,Adiac,ArrowHead,DiatomSizeReduction,Car
Computers,DistalPhalanxTW,CinC_ECG_torso,CBF,Earthquakes,DistalPhalanxOutlineAgeGroup,ECG5000,Cricket_Y,DistalPhalanxOutlineCorrect,Cricket_X,Cricket_Z,ChlorineConcentration,50words,ECG200,BeetleFly,BirdChicken,Adiac,Beef,ArrowHead,DiatomSizeReduction,Car
Cricket_X,50words,DistalPhalanxOutlineAgeGroup,ChlorineConcentration,DistalPhalanxTW,CinC_ECG_torso,DistalPhalanxOutlineCorrect,CBF,BeetleFly,BirdChicken,Earthquakes,ECG5000,Computers,ECG200,Adiac,DiatomSizeReduction,Car,Beef,ArrowHead,Cricket_Z,Cricket_Y
Cricket_Y,ECG200,50words,DistalPhalanxOutlineAgeGroup,CinC_ECG_torso,BeetleFly,DistalPhalanxTW,Computers,ECG5000,DistalPhalanxOutlineCorrect,BirdChicken,CBF,Earthquakes,Adiac,ChlorineConcentration,Beef,ArrowHead,DiatomSizeReduction,Car,Cricket_Z,Cricket_X
Cricket_Z,50words,ECG5000,ECG200,ChlorineConcentration,BeetleFly,CinC_ECG_torso,BirdChicken,Adiac,DistalPhalanxOutlineCorrect,DistalPhalanxTW,DistalPhalanxOutlineAgeGroup,Earthquakes,CBF,Computers,DiatomSizeReduction,Car,Beef,ArrowHead,Cricket_X,Cricket_Y
DiatomSizeReduction,Adiac,BeetleFly,Car,Earthquakes,BirdChicken,Cricket_Z,Cricket_X,Cricket_Y,ECG200,CinC_ECG_torso,ECG5000,DistalPhalanxTW,DistalPhalanxOutlineAgeGroup,Computers,DistalPhalanxOutlineCorrect,CBF,ChlorineConcentration,50words,Beef,ArrowHead
DistalPhalanxOutlineAgeGroup,Earthquakes,CBF,Cricket_X,Cricket_Y,CinC_ECG_torso,50words,Computers,ChlorineConcentration,ECG5000,Cricket_Z,ECG200,DistalPhalanxTW,DistalPhalanxOutlineCorrect,BeetleFly,BirdChicken,Beef,ArrowHead,Adiac,DiatomSizeReduction,Car
DistalPhalanxOutlineCorrect,ChlorineConcentration,ECG5000,Cricket_X,Cricket_Z,50words,Computers,CBF,Earthquakes,Cricket_Y,CinC_ECG_torso,DistalPhalanxOutlineAgeGroup,ECG200,DistalPhalanxTW,Beef,BeetleFly,ArrowHead,BirdChicken,Adiac,DiatomSizeReduction,Car
DistalPhalanxTW,Earthquakes,CBF,Computers,50words,Cricket_X,CinC_ECG_torso,Cricket_Y,ECG5000,Cricket_Z,ChlorineConcentration,ECG200,DistalPhalanxOutlineAgeGroup,DistalPhalanxOutlineCorrect,Beef,ArrowHead,BeetleFly,BirdChicken,Adiac,DiatomSizeReduction,Car
ECG200,Cricket_Y,Cricket_Z,CinC_ECG_torso,Cricket_X,ECG5000,DistalPhalanxTW,BeetleFly,DistalPhalanxOutlineAgeGroup,Computers,BirdChicken,Adiac,DistalPhalanxOutlineCorrect,CBF,Earthquakes,ChlorineConcentration,50words,DiatomSizeReduction,Car,Beef,ArrowHead
ECG5000,Cricket_Z,DistalPhalanxOutlineCorrect,50words,CinC_ECG_torso,Computers,Beef,DistalPhalanxTW,Cricket_X,CBF,Earthquakes,DistalPhalanxOutlineAgeGroup,Cricket_Y,ArrowHead,ECG200,ChlorineConcentration,BeetleFly,BirdChicken,Adiac,DiatomSizeReduction,Car
Earthquakes,DistalPhalanxTW,CBF,DistalPhalanxOutlineAgeGroup,Computers,Cricket_X,ECG5000,DistalPhalanxOutlineCorrect,Cricket_Z,Adiac,ChlorineConcentration,DiatomSizeReduction,Cricket_Y,50words,Car,CinC_ECG_torso,ECG200,Beef,ArrowHead,BeetleFly,BirdChicken
